"Country or Area Code";"Country or Area";"Year(s)";"Value"
"4";"Afghanistan";"2021";"39943.185"
"903";"Africa";"2021";"1374661.387"
"8";"Albania";"2021";"2871.807"
"12";"Algeria";"2021";"44669.559"
"16";"American Samoa";"2021";"55.133"
"20";"Andorra";"2021";"77.411"
"24";"Angola";"2021";"33959.132"
"660";"Anguilla";"2021";"15.111"
"28";"Antigua and Barbuda";"2021";"98.737"
"32";"Argentina";"2021";"45608.333"
"51";"Armenia";"2021";"2967.646"
"533";"Aruba";"2021";"107.15"
"935";"Asia";"2021";"4680278.8"
"36";"Australia";"2021";"25781.04"
"927";"Australia/New Zealand";"2021";"30640.986"
"40";"Austria";"2021";"9023.701"
"31";"Azerbaijan";"2021";"10226.1"
"44";"Bahamas";"2021";"396.914"
"48";"Bahrain";"2021";"1734.708"
"50";"Bangladesh";"2021";"166360.025"
"52";"Barbados";"2021";"287.604"
"112";"Belarus";"2021";"9437.085"
"56";"Belgium";"2021";"11619.64"
"84";"Belize";"2021";"405.176"
"204";"Benin";"2021";"12461.575"
"60";"Bermuda";"2021";"62.135"
"64";"Bhutan";"2021";"780.163"
"68";"Bolivia (Plurinational State of)";"2021";"11839.424"
"535";"Bonaire, Sint Eustatius and Saba";"2021";"26.426"
"70";"Bosnia and Herzegovina";"2021";"3267.901"
"72";"Botswana";"2021";"2398.057"
"76";"Brazil";"2021";"214002.631"
"92";"British Virgin Islands";"2021";"30.399"
"96";"Brunei Darussalam";"2021";"441.655"
"100";"Bulgaria";"2021";"6892.59"
"854";"Burkina Faso";"2021";"21516.799"
"108";"Burundi";"2021";"12269.671"
"132";"Cabo Verde";"2021";"562.117"
"116";"Cambodia";"2021";"16956.036"
"120";"Cameroon";"2021";"27245.495"
"124";"Canada";"2021";"38059.301"
"915";"Caribbean";"2021";"43820.185"
"136";"Cayman Islands";"2021";"66.49"
"140";"Central African Republic";"2021";"4924.023"
"916";"Central America";"2021";"181811.356"
"921";"Central and Southern Asia";"2021";"2038527.533"
"5500";"Central Asia";"2021";"75491.503"
"148";"Chad";"2021";"16938.384"
"830";"Channel Islands";"2021";"174.952"
"152";"Chile";"2021";"19132.654"
"156";"China";"2021";"1443627.57"
"344";"China, Hong Kong SAR";"2021";"7535.453"
"446";"China, Macao SAR";"2021";"658.309"
"158";"Other non-specified areas";"2021";"23834.424"
"170";"Colombia";"2021";"51065.532"
"174";"Comoros";"2021";"889.419"
"178";"Congo";"2021";"5660.278"
"184";"Cook Islands";"2021";"17.563"
"188";"Costa Rica";"2021";"5140.042"
"384";"Côte d'Ivoire";"2021";"27071.072"
"191";"Croatia";"2021";"4082.06"
"192";"Cuba";"2021";"11316.62"
"531";"Curaçao";"2021";"164.833"
"196";"Cyprus";"2021";"1215.479"
"203";"Czechia";"2021";"10718.433"
"408";"Dem. People's Republic of Korea";"2021";"25880.979"
"180";"Democratic Republic of the Congo";"2021";"92499.919"
"208";"Denmark";"2021";"5811.453"
"262";"Djibouti";"2021";"1003.019"
"212";"Dominica";"2021";"72.175"
"214";"Dominican Republic";"2021";"10958.353"
"910";"Eastern Africa";"2021";"457480.85"
"1832";"Eastern and South-Eastern Asia";"2021";"2357439.267"
"906";"Eastern Asia";"2021";"1682172.284"
"923";"Eastern Europe";"2021";"292357.673"
"218";"Ecuador";"2021";"17867.834"
"818";"Egypt";"2021";"104369.043"
"222";"El Salvador";"2021";"6520.097"
"226";"Equatorial Guinea";"2021";"1451.332"
"232";"Eritrea";"2021";"3609.553"
"233";"Estonia";"2021";"1322.464"
"748";"Eswatini";"2021";"1173.343"
"231";"Ethiopia";"2021";"118049.853"
"908";"Europe";"2021";"747272.857"
"917";"Europe";"2021";"747272.857"
"1829";"Europe and Northern America";"2021";"1118296.224"
"238";"Falkland Islands (Malvinas)";"2021";"3.473"
"234";"Faroe Islands";"2021";"49.019"
"242";"Fiji";"2021";"903.026"
"246";"Finland";"2021";"5548.948"
"250";"France";"2021";"65419.27"
"254";"French Guiana";"2021";"306.519"
"258";"French Polynesia";"2021";"282.528"
"266";"Gabon";"2021";"2281.285"
"270";"Gambia";"2021";"2488.984"
"268";"Georgia";"2021";"3978.505"
"276";"Germany";"2021";"83720.25"
"288";"Ghana";"2021";"31754.935"
"292";"Gibraltar";"2021";"33.692"
